id,category,idiom,meaning,options,answers,explanation
1,預見類,一葉知秋,從小徵兆可以預見未來的發展,"['月暈而風', '揮霍無度', '無懈可擊', '撥雲見日', '見微知著', '如魚得水']","['月暈而風', '見微知著']",透過小事物預見大趨勢的智慧
2,預見類,未雨綢繆,事先做好準備,"['洞燭先機', '得過且過', '安步當車', '臨渴掘井', '防患未然', '隨波逐流']","['洞燭先機', '防患未然']",提前準備、預防問題的處世態度
3,勤奮類,孜孜不倦,形容勤奮不懈的學習態度,"['廢寢忘食', '得過且過', '安步當車', '按部就班', '夜以繼日', '優柔寡斷']","['廢寢忘食', '夜以繼日']",形容專心致志、勤奮不懈的精神
4,勤奮類,筆耕不輟,持續不斷地寫作或工作,"['揮汗如雨', '馬馬虎虎', '敷衍了事', '汗馬功勞', '勤能補拙', '三心二意']","['揮汗如雨', '勤能補拙']",形容勤奮努力的工作態度
5,智慧類,舉一反三,從一件事情類推到其他相關的事,"['觸類旁通', '固步自封', '坐井觀天', '融會貫通', '學無止境', '故步自封']","['觸類旁通', '融會貫通']",形容善於推理和活學活用的能力
6,智慧類,深謀遠慮,考慮事情周密而深遠,"['運籌帷幄', '莽撞行事', '盲目從事', '決勝千里', '審時度勢', '魯莽從事']","['運籌帷幄', '審時度勢']",形容智慧謀略和深遠考慮
7,品德類,光明磊落,行事正直坦白,"['堂堂正正', '居心叵測', '口是心非', '正大光明', '心口如一', '陰險狡詐']","['堂堂正正', '正大光明']",形容為人處事光明正大
8,品德類,誠信為本,以誠實信用為行事準則,"['言而有信', '見風使舵', '見利忘義', '一諾千金', '信守承諾', '朝令夕改']","['言而有信', '一諾千金']",強調誠信的重要性
9,處世類,隨機應變,根據情況靈活處理,"['靈機一動', '固執己見', '我行我素', '臨機應變', '機變百出', '剛愎自用']","['靈機一動', '臨機應變']",形容能夠靈活處理各種情況
10,處世類,和光同塵,順應環境但不失本性,"['圓融處世', '特立獨行', '標新立異', '與世無爭', '順應自然', '離群索居']","['圓融處世', '與世無爭']",形容善於處世但保持本心

